district,year,month,monthly_rain_sum,monthly_rain_mean
amreli,2006,8,149.7,4.829032258064516
amreli,2006,9,99.5,3.316666666666667
amreli,2006,10,0.7,0.0225806451612903
amreli,2006,11,0.6,0.02
amreli,2006,12,0.0,0.0
amreli,2007,1,0.0,0.0
amreli,2007,2,0.4,0.0142857142857142
amreli,2007,3,0.0,0.0
amreli,2007,4,0.1,0.0033333333333333
amreli,2007,5,0.5,0.0161290322580645
amreli,2007,6,145.8,4.86
amreli,2007,7,171.8,5.541935483870968
amreli,2007,8,408.9,13.190322580645162
amreli,2007,9,232.8,7.760000000000001
amreli,2007,10,2.3,0.0741935483870967
amreli,2007,11,17.1,0.5700000000000001
amreli,2007,12,0.0,0.0
amreli,2008,1,0.0,0.0
amreli,2008,2,0.0,0.0
amreli,2008,3,0.0,0.0
amreli,2008,4,2.5,0.0833333333333333
amreli,2008,5,0.4,0.0129032258064516
amreli,2008,6,193.4,6.446666666666667
amreli,2008,7,195.6,6.309677419354839
amreli,2008,8,122.2,3.941935483870968
amreli,2008,9,569.9,18.996666666666663
amreli,2008,10,29.2,0.9419354838709676
amreli,2008,11,1.7,0.0566666666666666
amreli,2008,12,5.9,0.1903225806451613
amreli,2009,1,0.0,0.0
amreli,2009,2,0.0,0.0
amreli,2009,3,0.0,0.0
amreli,2009,4,0.4,0.0133333333333333
amreli,2009,5,1.2999999999999998,0.0419354838709677
amreli,2009,6,63.400000000000006,2.1133333333333337
amreli,2009,7,281.2,9.070967741935483
amreli,2009,8,59.7,1.9258064516129036
amreli,2009,9,15.1,0.5033333333333333
amreli,2009,10,2.0,0.064516129032258
amreli,2009,11,0.5,0.0166666666666666
amreli,2009,12,0.3,0.0096774193548387
amreli,2010,1,0.0,0.0
amreli,2010,2,0.2,0.0071428571428571
amreli,2010,3,0.0,0.0
amreli,2010,4,0.0,0.0
amreli,2010,5,0.1,0.0032258064516129
amreli,2010,6,36.1,1.2033333333333334
amreli,2010,7,341.3,11.00967741935484
amreli,2010,8,519.9,16.770967741935483
amreli,2010,9,106.8,3.5600000000000005
amreli,2010,10,11.7,0.3774193548387096
amreli,2010,11,94.5,3.15
amreli,2010,12,0.0,0.0
amreli,2011,1,0.0,0.0
amreli,2011,2,0.1,0.0035714285714285
amreli,2011,3,0.0,0.0
amreli,2011,4,0.2,0.0066666666666666
amreli,2011,5,0.2,0.0064516129032258
amreli,2011,6,12.1,0.4033333333333333
amreli,2011,7,212.6,6.858064516129032
amreli,2011,8,167.5,5.403225806451613
amreli,2011,9,148.20000000000002,4.94
amreli,2011,10,1.3,0.0419354838709677
amreli,2011,11,0.0,0.0
amreli,2011,12,0.0,0.0
amreli,2012,1,0.0,0.0
amreli,2012,2,0.0,0.0
amreli,2012,3,0.0,0.0
amreli,2012,4,1.1,0.0366666666666666
amreli,2012,5,0.9,0.0290322580645161
amreli,2012,6,23.3,0.7766666666666667
amreli,2012,7,40.5,1.3064516129032258
amreli,2012,8,64.9,2.0935483870967744
amreli,2012,9,157.9,5.263333333333334
amreli,2012,10,0.3,0.0096774193548387
amreli,2012,11,0.0,0.0
amreli,2012,12,0.0,0.0
amreli,2013,1,0.0,0.0
amreli,2013,2,0.0,0.0
amreli,2013,3,0.0,0.0
amreli,2013,4,2.4,0.08
amreli,2013,5,0.3,0.0096774193548387
amreli,2013,6,123.6,4.12
amreli,2013,7,193.2,6.232258064516128
amreli,2013,8,180.9,5.835483870967742
amreli,2013,9,258.5,8.616666666666667
amreli,2013,10,39.9,1.2870967741935484
amreli,2013,11,0.0,0.0
amreli,2013,12,0.0,0.0
amreli,2014,1,5.4,0.1741935483870967
amreli,2014,2,0.3,0.0107142857142857
amreli,2014,3,5.5,0.1774193548387097
amreli,2014,4,2.2,0.0733333333333333
amreli,2014,5,1.1,0.0354838709677419
amreli,2014,6,8.7,0.29
amreli,2014,7,190.0,6.129032258064516
amreli,2014,8,96.6,3.116129032258064
amreli,2014,9,205.6,6.8533333333333335
amreli,2014,10,1.5,0.0483870967741935
amreli,2014,11,17.2,0.5733333333333334
amreli,2014,12,0.0,0.0
amreli,2015,1,2.4000000000000004,0.0774193548387097
amreli,2015,2,0.0,0.0
amreli,2015,3,6.2,0.2
amreli,2015,4,0.5,0.0166666666666666
amreli,2015,5,0.3,0.0096774193548387
amreli,2015,6,114.9,3.83
amreli,2015,7,87.4,2.8193548387096774
amreli,2015,8,22.700000000000003,0.7322580645161291
amreli,2015,9,145.7,4.8566666666666665
amreli,2015,10,4.0,0.1290322580645161
amreli,2015,11,0.2,0.0066666666666666
amreli,2015,12,0.0,0.0
amreli,2016,1,0.0,0.0
amreli,2016,2,0.0,0.0
amreli,2016,3,3.2,0.1032258064516129
amreli,2016,4,0.7,0.0233333333333333
amreli,2016,5,1.1,0.0354838709677419
amreli,2016,6,69.5,2.316666666666667
amreli,2016,7,89.8,2.896774193548387
amreli,2016,8,206.6,6.664516129032258
amreli,2016,9,99.6,3.32
amreli,2016,10,63.9,2.061290322580645
amreli,2016,11,0.0,0.0
amreli,2016,12,0.0,0.0
amreli,2017,1,0.0,0.0
amreli,2017,2,0.0,0.0
amreli,2017,3,0.0,0.0
amreli,2017,4,0.3,0.01
amreli,2017,5,2.2,0.0709677419354838
amreli,2017,6,145.4,4.846666666666667
amreli,2017,7,176.4,5.690322580645161
amreli,2017,8,159.6,5.148387096774194
amreli,2017,9,89.5,2.9833333333333334
amreli,2017,10,22.0,0.7096774193548387
amreli,2017,11,0.0,0.0
amreli,2017,12,52.900000000000006,1.706451612903226
amreli,2018,1,0.0,0.0
amreli,2018,2,0.1,0.0035714285714285
amreli,2018,3,0.0,0.0
amreli,2018,4,0.3,0.01
amreli,2018,5,0.6,0.0193548387096774
amreli,2018,6,13.3,0.4433333333333333
amreli,2018,7,274.3,8.848387096774195
amreli,2018,8,108.8,3.509677419354839
amreli,2018,9,16.4,0.5466666666666666
amreli,2018,10,0.1,0.0032258064516129
amreli,2018,11,0.0,0.0
amreli,2018,12,0.0,0.0
amreli,2019,1,0.0,0.0
amreli,2019,2,0.4,0.0142857142857142
amreli,2019,3,0.0,0.0
amreli,2019,4,0.0,0.0
amreli,2019,5,0.0,0.0
amreli,2019,6,66.60000000000001,2.22
amreli,2019,7,151.89999999999998,4.9
amreli,2019,8,297.4,9.593548387096773
amreli,2019,9,296.6,9.886666666666668
amreli,2019,10,32.4,1.0451612903225806
amreli,2019,11,30.5,1.0166666666666666
amreli,2019,12,5.800000000000001,0.1870967741935484
amreli,2020,1,1.9,0.0612903225806451
amreli,2020,2,0.0,0.0
amreli,2020,3,0.1,0.0032258064516129
amreli,2020,4,0.0,0.0
amreli,2020,5,0.0,0.0
amreli,2020,6,89.6,2.9866666666666664
amreli,2020,7,304.9,9.83548387096774
amreli,2020,8,455.8,14.703225806451613
amreli,2020,9,108.9,3.63
amreli,2020,10,10.8,0.3483870967741935
amreli,2020,11,0.0,0.0
amreli,2020,12,19.0,0.6129032258064516
amreli,2021,1,0.0,0.0
amreli,2021,2,0.0,0.0
amreli,2021,3,0.0,0.0
amreli,2021,4,0.0,0.0
amreli,2021,5,159.1,5.132258064516129
amreli,2021,6,37.8,1.26
amreli,2021,7,94.1,3.0354838709677416
amreli,2021,8,116.3,3.7516129032258063
amreli,2021,9,502.8,16.76
amreli,2021,10,28.3,0.9129032258064516
amreli,2021,11,4.9,0.1633333333333333
amreli,2021,12,22.4,0.7225806451612903
amreli,2022,1,3.6,0.1161290322580645
amreli,2022,2,0.0,0.0
amreli,2022,3,0.0,0.0
amreli,2022,4,0.0,0.0
amreli,2022,5,0.4,0.0129032258064516
amreli,2022,6,96.8,3.2266666666666666
amreli,2022,7,211.2,6.812903225806451
amreli,2022,8,121.7,3.925806451612903
amreli,2022,9,225.1,7.503333333333333
amreli,2022,10,14.5,0.4677419354838709
amreli,2022,11,0.0,0.0
amreli,2022,12,0.9,0.0290322580645161
amreli,2023,1,0.3,0.0096774193548387
amreli,2023,2,0.0,0.0
amreli,2023,3,4.1,0.132258064516129
amreli,2023,4,2.1,0.07
amreli,2023,5,12.5,0.4032258064516129
amreli,2023,6,117.6,3.92
amreli,2023,7,377.1,12.16451612903226
amreli,2023,8,10.1,0.3258064516129032
amreli,2023,9,80.7,2.69
amreli,2023,10,1.8,0.0580645161290322
amreli,2023,11,7.6,0.2533333333333333
amreli,2023,12,0.8,0.0258064516129032
amreli,2024,1,0.1,0.0032258064516129
amreli,2024,2,0.0,0.0
amreli,2024,3,2.2,0.0709677419354838
amreli,2024,4,0.6,0.02
amreli,2024,5,0.1,0.0032258064516129
amreli,2024,6,93.9,3.13
amreli,2024,7,399.1,12.874193548387098
amreli,2024,8,285.8,9.21935483870968
