district,monthly_ndvi_mean,year,month
amreli,2.110486122232645e-05,2008,6
amreli,3.1284548429996967e-05,2008,7
amreli,5.940779699946841e-05,2008,8
amreli,5.7696613376692e-05,2008,9
amreli,5.007646959967691e-05,2008,10
amreli,4.551386857984996e-05,2008,11
amreli,4.486380532606009e-05,2008,12
amreli,4.057763657800795e-05,2009,1
amreli,3.2781212069922336e-05,2009,2
amreli,2.783630928743344e-05,2009,3
amreli,2.557813733582555e-05,2009,4
amreli,2.19879881888386e-05,2009,5
amreli,2.47017214645933e-05,2009,6
amreli,2.7194872534047774e-05,2009,7
amreli,5.0614572604118e-05,2009,8
amreli,5.434414708176858e-05,2009,9
amreli,4.47959301904447e-05,2009,10
amreli,4.021181909279149e-05,2009,11
amreli,3.7253775395269847e-05,2009,12
amreli,3.563600789608061e-05,2010,1
amreli,2.99311631174642e-05,2010,2
amreli,2.498554576857593e-05,2010,3
amreli,2.318176771718019e-05,2010,4
amreli,2.1861385199314197e-05,2010,5
amreli,2.427704758007053e-05,2010,6
amreli,3.546243885789722e-05,2010,7
amreli,4.6659133641343775e-05,2010,8
amreli,6.523154476996823e-05,2010,9
amreli,6.098730307867071e-05,2010,10
amreli,5.479695735442432e-05,2010,11
amreli,5.10358314980951e-05,2010,12
amreli,4.877076351271092e-05,2011,1
amreli,4.443852990507088e-05,2011,2
amreli,3.411318487462338e-05,2011,3
amreli,2.683073353077739e-05,2011,4
amreli,2.4445511751438796e-05,2011,5
amreli,1.7091242720608508e-05,2011,6
amreli,2.5486468499396507e-05,2011,7
amreli,3.4708485535201787e-05,2011,8
amreli,6.223110657479621e-05,2011,9
amreli,5.833050529651519e-05,2011,10
amreli,4.953527075314142e-05,2011,11
amreli,4.4936512958564905e-05,2011,12
amreli,4.0600074347653337e-05,2012,1
amreli,3.440511634006353e-05,2012,2
amreli,2.87782621560224e-05,2012,3
amreli,2.731226484004016e-05,2012,4
amreli,2.2809897051265485e-05,2012,5
amreli,2.2983426980334238e-05,2012,6
amreli,1.944566333646753e-05,2012,7
amreli,2.6027926958419772e-05,2012,8
amreli,5.5918943218699735e-05,2012,9
amreli,4.459099977422933e-05,2012,10
amreli,3.768668667801422e-05,2012,11
amreli,3.4300717158184895e-05,2012,12
amreli,3.124991819388125e-05,2013,1
amreli,2.766129296814362e-05,2013,2
amreli,2.460776639368873e-05,2013,3
amreli,2.379236930796437e-05,2013,4
